greertonWeekdaySchoolHolidayFalse,greertonWeekendSchoolHolidayFalse,greertonWeekdaySchoolHolidayTrue,greertonWeekendSchoolHolidayTrue,papamoaWeekdaySchoolHolidayFalse,papamoaWeekendSchoolHolidayFalse,papamoaWeekdaySchoolHolidayTrue,papamoaWeekendSchoolHolidayTrue,malemeWeekdaySchoolHolidayFalse,malemeWeekendSchoolHolidayFalse,malemeWeekdaySchoolHolidayTrue,malemeWeekendSchoolHolidayTrue,standbyWeekdaySchoolHolidayFalse,standbyWeekendSchoolHolidayFalse,standbyWeekdaySchoolHolidayTrue,standbyWeekendSchoolHolidayTrue
OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
T26527T,,,,,,,,,,,,BS14,BS14,BS14,BS14
T26528T,,,,,,,,,,,,BS15,BS15,BS15,BS15
,,,,,,,,,,,,BS16,BS16,BS16,BS16
,,,,,,,,,,,,BS17,BS17,BS17,BS17
,,,,,,,,,,,,BS18,BS18,BS18,BS18
,,,,,,,,,,,,BS19,BS19,BS19,BS19
,,,,,,,,,,,,BS20,BS20,BS20,BS20
,,,,,,,,,,,,BS21,BS21,BS21,BS21
,,,,,,,,,,,,BS22,BS22,BS22,BS22
,,,,,,,,,,,,BS23,BS23,BS23,BS23
,,,,,,,,,,,,PTSS30,PTSS30,PTSS30,PTSS30
,,,,,,,,,,,,PTSS31,PTSS31,PTSS31,PTSS31
,,,,,,,,,,,,PTSS32,PTSS32,PTSS32,PTSS32
,,,,,,,,,,,,PTSS33,PTSS33,PTSS33,PTSS33
,,,,,,,,,,,,PTSS34,PTSS34,PTSS34,PTSS34
,,,,,,,,,,,,PTSS35,PTSS35,PTSS35,PTSS35
,,,,,,,,,,,,PTSS36,PTSS36,PTSS36,PTSS36
,,,,,,,,,,,,PTSS37,PTSS37,PTSS37,PTSS37
,,,,,,,,,,,,PTSS38,PTSS38,PTSS38,PTSS38
,,,,,,,,,,,,PTSS39,PTSS39,PTSS39,PTSS39
,,,,,,,,,,,,PTSS40,PTSS40,PTSS40,PTSS40
,,,,,,,,,,,,PTSS41,PTSS41,PTSS41,PTSS41
,,,,,,,,,,,,PTSS42,PTSS42,PTSS42,PTSS42
,,,,,,,,,,,,PTSS43,PTSS43,PTSS43,PTSS43
,,,,,,,,,,,,PTSS44,PTSS44,PTSS44,PTSS44
,,,,,,,,,,,,PTSS45,PTSS45,PTSS45,PTSS45
,,,,,,,,,,,,PTSS46,PTSS46,PTSS46,PTSS46
,,,,,,,,,,,,PTSS47,PTSS47,PTSS47,PTSS47
,,,,,,,,,,,,PTSS48,PTSS48,PTSS48,PTSS48
,,,,,,,,,,,,PTSS49,PTSS49,PTSS49,PTSS49
,,,,,,,,,,,,PTSS51,PTSS51,PTSS51,PTSS51
,,,,,,,,,,,,PTBS31,PTBS31,PTBS31,PTBS31
,,,,,,,,,,,,PTSS53,PTSS53,PTSS53,PTSS53
,,,,,,,,,,,,PTSS55,PTSS55,PTSS55,PTSS55
,,,,,,,,,,,,PTSS57,PTSS57,PTSS57,PTSS57
,,,,,,,,,,,,PTSS50,PTSS50,PTSS50,PTSS50
,,,,,,,,,,,,PTSS52,PTSS52,PTSS52,PTSS52
